student_id,gender,age,attendance_rate,assignment_score,quiz_score,exam_score,study_hours_per_week,parental_education_level,health_status,electricity_access,internet_access,performance_label
STD0001,Male,20,66.1,66.85,32.94,67.1,15.9,Secondary,Fair,False,False,Medium
STD0002,Female,15,98.87,68.46,63.55,77.49,19.1,Secondary,Fair,True,False,Medium
STD0003,Male,23,60.04,75.45,42.72,71.49,2.0,Primary,Good,True,True,Medium
STD0004,Male,15,84.66,72.22,82.02,40.39,1.2,Secondary,Good,True,False,Medium
STD0005,Male,19,91.07,91.25,89.35,42.05,0.5,Secondary,Good,True,False,Medium
STD0006,Female,18,52.06,42.97,68.19,91.51,4.7,None,Good,True,False,Medium
STD0007,Male,17,83.52,90.0,98.72,69.08,10.4,Primary,Poor,False,False,High
STD0008,Male,20,97.58,90.64,61.53,90.9,23.4,Tertiary,Good,True,True,High
STD0009,Male,16,56.21,57.09,65.94,56.01,11.4,Primary,Poor,True,True,Medium
STD0010,Female,17,94.81,67.77,99.25,73.01,7.3,None,Poor,True,True,High
STD0011,Male,19,79.74,66.31,46.21,66.66,14.0,Secondary,Good,True,False,Medium
STD0012,Male,23,80.83,53.11,95.98,52.34,2.8,Tertiary,Poor,True,False,Medium
STD0013,Male,16,80.65,63.81,33.0,62.89,15.2,Primary,Good,False,True,Medium
STD0014,Male,24,64.94,42.66,61.25,65.17,14.2,Secondary,Good,True,True,Medium
STD0015,Female,22,96.76,56.67,34.9,44.05,19.8,Primary,Fair,False,False,Low
STD0016,Male,16,97.37,89.0,81.05,52.05,24.7,Tertiary,Good,True,True,Medium
STD0017,Female,19,81.27,57.07,72.59,85.4,6.3,Primary,Fair,False,True,Medium
STD0018,Female,21,89.17,89.09,79.46,94.11,12.7,Primary,Poor,False,False,High
STD0019,Female,22,80.61,71.9,56.21,55.19,22.7,Primary,Fair,True,False,Medium
STD0020,Male,15,74.22,92.79,55.86,51.49,19.6,Secondary,Poor,True,True,Medium
STD0021,Female,20,83.04,74.49,33.17,43.66,12.2,Tertiary,Good,True,False,Low
STD0022,Male,15,77.65,41.78,54.5,77.49,23.6,Tertiary,Poor,True,True,Medium
STD0023,Female,16,79.87,80.53,95.05,52.62,1.4,Secondary,Poor,True,False,Medium
STD0024,Female,15,89.19,42.69,56.55,99.14,23.3,Secondary,Good,False,False,Medium
STD0025,Female,19,74.05,67.04,88.2,52.8,1.3,Secondary,Poor,True,True,Medium
STD0026,Female,24,52.04,95.77,88.96,57.59,13.7,None,Good,True,False,High
STD0027,Female,23,58.2,49.91,56.13,72.23,22.3,Primary,Fair,False,True,Medium
STD0028,Female,20,71.93,63.39,74.24,86.12,6.6,Primary,Good,True,False,High
STD0029,Female,15,86.24,83.79,36.68,62.87,11.8,Tertiary,Good,False,True,Medium
STD0030,Female,15,79.66,92.94,37.26,59.59,8.1,Primary,Poor,True,False,Medium
STD0031,Male,16,82.51,80.26,33.41,99.69,23.8,None,Fair,False,False,Medium
STD0032,Male,23,73.96,55.49,70.67,30.73,20.6,Secondary,Good,True,True,Medium
STD0033,Female,17,80.79,80.48,59.82,92.65,17.7,Tertiary,Fair,False,False,High
STD0034,Female,15,66.45,57.8,68.36,40.44,14.7,Tertiary,Fair,False,True,Medium
STD0035,Female,19,73.51,83.11,66.48,85.01,20.5,Primary,Poor,True,False,High
STD0036,Male,21,87.21,97.24,54.51,73.26,9.8,Tertiary,Good,True,False,Medium
STD0037,Female,20,93.59,83.28,77.42,53.93,11.2,Secondary,Poor,True,True,Medium
STD0038,Male,15,71.68,91.77,83.1,91.17,18.3,Tertiary,Good,False,False,High
STD0039,Male,19,52.18,40.13,31.02,30.9,8.9,Secondary,Fair,False,False,Low
STD0040,Male,19,58.08,83.05,44.51,45.87,1.6,None,Good,False,True,Medium
STD0041,Male,20,51.04,89.78,79.93,69.68,1.9,None,Good,True,False,High
STD0042,Male,17,82.66,42.43,57.06,54.61,2.9,Secondary,Fair,True,True,Medium
STD0043,Female,19,66.62,92.3,76.37,72.73,21.7,Primary,Fair,False,True,High
STD0044,Female,21,77.12,55.4,54.29,31.69,11.8,Tertiary,Good,True,True,Low
STD0045,Female,19,74.66,79.92,57.35,38.15,17.8,Primary,Poor,False,False,Medium
STD0046,Female,19,54.08,88.02,41.11,38.9,9.8,Tertiary,Good,True,False,Medium
STD0047,Female,19,70.16,79.76,48.08,43.25,6.5,None,Fair,True,True,Medium
STD0048,Male,24,61.03,45.54,72.38,62.15,8.7,None,Poor,False,False,Medium
STD0049,Female,24,70.92,75.78,60.32,82.65,19.9,None,Fair,True,True,Medium
STD0050,Female,17,60.18,72.98,84.2,93.39,15.6,Tertiary,Fair,True,False,High
STD0051,Male,15,92.02,94.02,89.68,88.48,23.4,None,Poor,True,True,High
STD0052,Female,19,58.71,64.25,67.92,43.78,17.0,None,Fair,True,True,Medium
STD0053,Male,23,98.04,59.26,83.08,60.88,14.3,None,Fair,True,False,Medium
STD0054,Female,15,70.8,84.99,51.48,43.96,15.3,None,Fair,False,True,Medium
STD0055,Male,17,92.31,64.76,59.05,48.51,23.6,Primary,Fair,True,True,Medium
STD0056,Female,18,81.44,78.77,79.89,65.25,19.7,None,Fair,False,False,Medium
STD0057,Female,15,86.77,78.79,57.03,34.77,0.6,None,Fair,True,True,Medium
STD0058,Male,15,88.39,93.28,71.2,45.27,13.4,Primary,Fair,True,True,Medium
STD0059,Male,22,75.24,75.92,42.98,95.48,17.2,Primary,Fair,False,False,Medium
STD0060,Male,16,77.17,70.13,71.98,62.63,18.7,Tertiary,Fair,False,True,Medium
STD0061,Male,22,75.7,48.33,90.31,61.18,5.3,Secondary,Good,True,True,Medium
STD0062,Male,21,79.4,46.94,90.8,31.02,21.7,None,Good,True,True,Medium
STD0063,Male,24,51.47,49.26,80.7,47.32,23.9,None,Fair,False,True,Medium
STD0064,Male,24,69.78,50.31,82.2,90.64,5.9,None,Good,False,True,High
STD0065,Male,16,80.31,78.27,69.05,41.52,22.1,Tertiary,Poor,False,True,Medium
STD0066,Female,20,79.89,84.46,70.93,59.06,2.4,None,Good,False,True,Medium
STD0067,Female,20,89.65,71.8,39.36,31.0,1.4,Secondary,Fair,True,True,Low
STD0068,Male,17,82.75,89.74,61.07,63.48,3.2,Primary,Fair,True,False,Medium
STD0069,Female,16,99.61,99.48,61.55,31.47,1.4,Tertiary,Good,True,True,Medium
STD0070,Female,15,64.19,89.2,97.09,87.37,21.1,Primary,Fair,True,True,High
STD0071,Female,20,67.96,81.69,60.18,87.74,1.5,None,Poor,True,False,High
STD0072,Female,19,69.19,71.95,68.45,85.14,6.8,None,Poor,False,True,High
STD0073,Male,23,73.29,66.93,67.33,49.84,2.6,None,Fair,False,True,Medium
STD0074,Female,15,91.8,45.06,74.57,88.61,7.4,Secondary,Poor,False,True,Medium
STD0075,Male,21,61.79,63.96,82.38,68.01,2.3,Secondary,Poor,True,True,Medium
STD0076,Female,19,88.8,94.61,45.75,56.17,16.7,Tertiary,Good,False,True,Medium
STD0077,Female,19,70.27,88.48,67.01,73.77,3.3,Primary,Poor,True,True,High
STD0078,Female,16,80.09,52.96,87.81,30.86,21.3,None,Good,True,False,Medium
STD0079,Male,17,81.63,68.0,62.42,40.01,20.4,None,Fair,True,False,Medium
STD0080,Female,21,68.64,89.0,49.49,81.96,0.3,None,Good,False,False,Medium
STD0081,Male,20,75.63,44.04,75.83,47.09,22.4,None,Fair,True,False,Medium
STD0082,Female,16,70.65,63.24,87.66,71.86,0.7,Secondary,Fair,True,False,Medium
STD0083,Male,20,53.46,91.11,34.42,56.96,6.0,Primary,Fair,False,True,Medium
STD0084,Female,16,71.86,64.23,84.38,89.84,0.8,Primary,Fair,True,True,High
STD0085,Male,16,54.87,44.66,87.52,96.67,8.4,Tertiary,Fair,False,True,High
STD0086,Male,16,70.25,72.55,62.31,91.85,12.8,Secondary,Good,True,True,High
STD0087,Female,17,79.65,91.7,98.83,48.94,19.9,None,Fair,False,True,High
STD0088,Male,16,78.97,75.42,85.07,43.59,8.4,Primary,Poor,True,False,Medium
STD0089,Female,18,83.13,53.58,84.16,63.21,17.6,Primary,Poor,True,False,Medium
STD0090,Female,23,54.76,63.05,82.35,30.51,4.7,Secondary,Fair,False,True,Medium
STD0091,Female,20,82.61,67.01,40.54,31.81,18.8,Tertiary,Poor,True,True,Low
STD0092,Female,15,65.61,74.76,45.21,68.73,5.9,Tertiary,Good,False,True,Medium
STD0093,Female,22,69.95,85.56,62.48,66.43,3.6,None,Good,True,False,Medium
STD0094,Female,21,92.9,45.93,48.48,99.62,4.6,Tertiary,Fair,False,False,Medium
STD0095,Female,24,50.45,93.38,59.07,44.13,4.6,Primary,Fair,True,True,Medium
STD0096,Female,17,79.42,40.74,92.19,48.07,12.8,Tertiary,Fair,True,False,Medium
STD0097,Female,15,79.94,62.2,87.7,37.95,21.1,None,Poor,True,True,Medium
STD0098,Female,19,69.83,41.65,74.1,94.23,2.0,Primary,Poor,False,False,Medium
STD0099,Female,18,61.85,63.58,90.07,84.45,17.7,Tertiary,Good,False,False,High
STD0100,Male,24,61.73,71.55,84.86,87.56,16.4,Tertiary,Poor,False,True,High
STD0101,Male,22,94.19,70.7,60.03,93.19,21.8,Secondary,Good,False,False,High
STD0102,Female,15,72.1,49.94,44.07,66.74,6.1,None,Poor,False,False,Medium
STD0103,Female,24,66.54,78.74,65.99,61.58,11.3,Tertiary,Good,True,True,Medium
STD0104,Female,15,72.44,42.69,81.54,53.13,23.1,Secondary,Fair,True,False,Medium
STD0105,Female,18,83.47,85.71,60.55,71.25,16.5,Primary,Poor,True,True,Medium
STD0106,Female,22,57.29,96.8,76.67,61.8,9.7,Secondary,Good,True,False,High
STD0107,Female,19,72.47,60.39,36.6,61.61,3.3,Secondary,Poor,True,True,Medium
STD0108,Female,16,79.39,71.03,82.36,95.58,6.6,Tertiary,Fair,False,True,High
STD0109,Female,20,97.43,62.73,86.89,98.88,14.5,Tertiary,Good,True,False,High
STD0110,Male,19,62.63,40.4,79.48,85.75,18.0,Tertiary,Poor,False,False,Medium
STD0111,Female,16,67.96,63.15,97.71,82.97,3.1,Secondary,Poor,True,True,High
STD0112,Male,17,68.97,87.5,87.87,77.64,15.0,Primary,Fair,False,False,High
STD0113,Female,23,80.28,75.76,93.22,41.63,13.8,None,Fair,False,False,Medium
STD0114,Female,21,67.84,46.08,95.35,34.14,12.8,Secondary,Good,False,False,Medium
STD0115,Male,21,76.68,90.83,86.09,78.35,17.3,Tertiary,Poor,True,True,High
STD0116,Female,20,89.09,71.87,77.2,81.02,20.9,None,Poor,True,True,High
STD0117,Male,22,85.27,90.5,30.4,33.29,8.1,Primary,Fair,True,True,Low
STD0118,Female,18,72.32,74.81,62.61,94.96,22.2,None,Fair,True,False,High
STD0119,Female,22,93.21,73.58,69.98,36.38,4.0,Tertiary,Good,False,False,Medium
STD0120,Male,18,77.91,46.32,51.28,50.01,4.3,Secondary,Poor,False,True,Low
STD0121,Female,22,77.0,50.04,52.27,77.07,6.7,Secondary,Poor,False,True,Medium
STD0122,Male,23,51.71,98.32,97.28,41.89,3.0,Tertiary,Good,False,False,High
STD0123,Female,17,99.33,53.71,92.42,33.88,5.8,Secondary,Good,True,False,Medium
STD0124,Male,17,56.15,98.65,89.44,53.18,2.7,Tertiary,Fair,False,False,High
STD0125,Male,16,61.56,71.91,58.42,83.62,20.5,Secondary,Fair,True,False,Medium
STD0126,Female,24,52.58,48.15,30.96,58.96,3.5,Secondary,Good,False,True,Low
STD0127,Female,17,82.0,45.96,35.62,75.71,18.7,Secondary,Good,False,False,Medium
STD0128,Male,17,61.24,52.53,51.85,70.57,1.2,Primary,Poor,False,False,Medium
STD0129,Female,19,59.0,95.54,31.1,31.56,23.7,Primary,Good,True,True,Medium
STD0130,Female,19,54.43,64.85,31.2,99.2,17.8,Tertiary,Good,True,True,Medium
STD0131,Female,16,55.17,63.73,94.16,32.9,0.2,Primary,Poor,False,False,Medium
STD0132,Male,24,79.23,58.79,79.43,97.75,19.1,Tertiary,Good,False,True,High
STD0133,Male,20,84.41,48.82,51.63,68.49,12.9,None,Fair,False,False,Medium
STD0134,Male,19,69.87,69.27,39.29,97.42,19.5,None,Fair,True,False,Medium
STD0135,Male,20,73.99,47.8,65.81,38.03,13.1,Primary,Poor,True,True,Low
STD0136,Male,15,84.3,90.13,30.37,64.33,16.0,None,Good,True,True,Medium
STD0137,Male,19,50.87,62.22,95.69,41.87,19.7,None,Fair,False,False,Medium
